MOL_FORMULA	NUM_REPEATS	EXACT_MASS	NUM_CARBONS	ISOTOPE_2	ISOTOPE_3	ISOTOPE_4	ISOTOPE_5	ISOTOPE_6
C2H3NO3	2	89.01129295599999	2	0.021631456585464472	0.31995776135163684	0.006921152423860334	0.0019725334886900835	
C3H7NO2	13	89.047678464	3	0.0324471848781967	0.3199577613516367	0.010381728635790496	0.0013150223257933885	
CH7N5	2	89.070145224	1	0.01826649002368621	0.31995776135163667	0.005844505255730645		
C4H11NO	10	89.08406397200001	4	0.04326291317092896	0.31995776135163667	0.013842304847720662		
C3H6OS	8	90.013935812	3	0.03244718487819671	0.3199577613516367	0.010381728635790496	0.014459273108590767	
C2H6N2S	2	90.02516919199999	2	0.021631456585464472	0.3199577613516367	0.00692115242386033	0.014459273108590765	
C3H6O3	12	90.03169405199999	3	0.0324471848781967	0.31995776135163667	0.010381728635790495	0.0019725334886900826	
C2H6N2O2	3	90.042927432	2	0.02163145658546448	0.31995776135163667	0.00692115242386033	0.0013150223257933885	
C4H10S	6	90.05032132	4	0.04326291317092894	0.31995776135163656	0.013842304847720656	0.01445927310859077	
C4H10O2	11	90.06807956	4	0.04326291317092896	0.3199577613516369	0.01384230484772067	0.001315022325793389	
C2H5NOS	2	91.00918478	2	0.021631456585464462	0.31995776135163667	0.006921152423860331	0.014459273108590761	
C2H5NO3	3	91.02694301999999	2	0.021631456585464462	0.31995776135163667	0.006921152423860331	0.001972533488690082	
C2H7NO3	2	93.04259308399999	2	0.02163145658546448	0.3199577613516367	0.006921152423860332	0.001972533488690082	
C6H7N	5	93.057849224	6	0.0648943697563934	0.31995776135163667	0.020763457271580993		
C2H6S2	4	93.991092192	2	0.02163145658546447	0.3199577613516367	0.00692115242386033	0.028918546217181533	
CH6N2O3	2	94.03784205199999	1	0.010815728292732233	0.31995776135163667	0.0034605762119301656	0.001972533488690082	
C6H6O	3	94.041864812	6	0.06489436975639337	0.3199577613516365	0.02076345727158098		
C5H6N2	7	94.053098192	5	0.054078641463661176	0.3199577613516366	0.017302881059650825		
C7H10	3	94.07825032	7	0.07571009804912561	0.31995776135163656	0.024224033483511143		
C5H5NO	5	95.03711378	5	0.054078641463661176	0.3199577613516367	0.017302881059650835		
C4H5N3	2	95.04834715999999	4	0.043262913170928945	0.3199577613516366	0.013842304847720652		
C5H4O2	3	96.021129368	5	0.054078641463661176	0.31995776135163667	0.017302881059650832	0.0013150223257933885	
C4H4N2O	5	96.032362748	4	0.04326291317092894	0.31995776135163695	0.013842304847720668		
C6H8O	11	96.057514876	6	0.06489436975639341	0.3199577613516365	0.02076345727158099		
C5H8N2	3	96.06874825599999	5	0.05407864146366118	0.3199577613516367	0.017302881059650825		
C4H3NO2	2	97.016378336	4	0.04326291317092893	0.3199577613516368	0.01384230484772066	0.0013150223257933887	
C5H7NO	7	97.052763844	5	0.05407864146366117	0.31995776135163684	0.017302881059650825		
C6H11N	4	97.08914935199999	6	0.0648943697563934	0.31995776135163667	0.020763457271580993		
H3O4P	3	97.976895206	0	0.0015237025973114668	0.31995776135163684	0.0026300446515867765		
C4H2O3	2	98.000393924	4	0.043262913170928945	0.3199577613516367	0.013842304847720659	0.001972533488690082	
C5H6S	2	98.019021192	5	0.05407864146366119	0.31995776135163684	0.017302881059650832	0.014459273108590772	
C5H6O2	8	98.036779432	5	0.05407864146366119	0.3199577613516367	0.017302881059650832	0.0013150223257933885	
C4H6N2O	2	98.048012812	4	0.043262913170928945	0.3199577613516367	0.013842304847720659		
C6H10O	25	98.07316494	6	0.0648943697563934	0.31995776135163656	0.020763457271580986		
C5H10N2	3	98.08439831999999	5	0.054078641463661176	0.3199577613516368	0.017302881059650832		
C7H14	10	98.109550448	7	0.07571009804912562	0.3199577613516365	0.024224033483511154		
C4H5NS	8	99.01427016	4	0.04326291317092894	0.3199577613516366	0.013842304847720657	0.014459273108590763	
C4H5NO2	5	99.0320284	4	0.04326291317092894	0.31995776135163656	0.013842304847720656	0.001315022325793388	
C3H5N3O	2	99.04326178	3	0.032447184878196714	0.3199577613516368	0.0103817286357905		
C5H9NO	11	99.068413908	5	0.054078641463661155	0.3199577613516366	0.017302881059650818		
C6H13N	5	99.10479941599999	6	0.0648943697563934	0.31995776135163667	0.020763457271580996		
C4H4OS	2	99.998285748	4	0.04326291317092894	0.31995776135163667	0.013842304847720657	0.014459273108590765	
C3H4N2S	3	100.009519128	3	0.03244718487819671	0.3199577613516367	0.010381728635790498	0.014459273108590772	
C4H4O3	2	100.01604398799999	4	0.043262913170928945	0.31995776135163656	0.01384230484772066	0.001972533488690082	
C3H4N2O2	3	100.027277368	3	0.0324471848781967	0.3199577613516366	0.010381728635790496	0.0013150223257933885	
C5H8S	2	100.034671256	5	0.05407864146366118	0.31995776135163667	0.01730288105965082	0.014459273108590768	
C5H8O2	26	100.052429496	5	0.05407864146366118	0.31995776135163667	0.01730288105965083	0.0013150223257933883	
C4H8N2O	7	100.063662876	4	0.04326291317092894	0.3199577613516368	0.01384230484772066		
C6H12O	27	100.088815004	6	0.0648943697563934	0.31995776135163656	0.020763457271580986		
C5H12N2	10	100.10004838399999	5	0.05407864146366117	0.3199577613516366	0.017302881059650825		
C7H16	9	100.12520051199999	7	0.0757100980491256	0.31995776135163645	0.024224033483511147		
C3H3NOS	2	100.993534716	3	0.03244718487819671	0.3199577613516367	0.010381728635790498	0.014459273108590765	
